,urban_score,oxford_score,follower_score,favorite_score,friend_score,sex_words_ratio,posneg,compound
24176,0.0606061,0.0,4.2117700000000005e-05,0.0273202,0.00205436,0.0102695763799743,0.172,0.5994
24177,0.12121199999999999,0.0,4.2117700000000005e-05,0.0273202,0.00205436,0.0300187617260788,-0.167,-0.296
24178,0.151515,0.0,4.2117700000000005e-05,0.0273202,0.00205436,0.0286944045911047,0.271,0.6369
24179,0.0606061,0.0,4.2117700000000005e-05,0.0273202,0.00205436,0.0139372822299652,0.11000000000000001,0.25
24180,0.0909091,0.0,4.2117700000000005e-05,0.0273202,0.00205436,0.0182926829268293,0.0,0.0
24181,0.0606061,0.0,4.2117700000000005e-05,0.0273202,0.00205436,0.00848356309650053,-0.314,-0.8271
24182,0.0,0.0,0.000341471,0.109648,0.0006393519999999999,0.0,0.0,0.0
24183,0.0909091,0.0,4.2117700000000005e-05,0.0273202,0.00205436,0.0112570356472795,-0.223,-0.7845
24184,0.0606061,0.0,0.000341471,0.109648,0.0006393519999999999,0.0102695763799743,0.269,0.7096
24185,0.12121199999999999,0.010526299999999999,0.000341471,0.109648,0.0006393519999999999,0.01806684733514,-0.122,-0.3863
24186,0.030302999999999997,0.0,0.000341471,0.109648,0.0006393519999999999,0.006968641114982579,0.0,0.0
24187,0.12121199999999999,0.0,0.000341471,0.109648,0.0006393519999999999,0.0195121951219512,0.0,0.0
24188,0.181818,0.0,0.000341471,0.109648,0.0006393519999999999,0.0254506892895016,0.032,0.2023
24189,0.0,0.0,0.000341471,0.109648,0.0006393519999999999,0.0,0.0,0.0
24190,0.0606061,0.0,0.000341471,0.109648,0.0006393519999999999,0.0139372822299652,-0.205,-0.4754
24191,0.0,0.0,0.000341471,0.109648,0.0006393519999999999,0.0,0.464,0.6369
24192,0.12121199999999999,0.0,0.000341471,0.109648,0.0006393519999999999,0.0205391527599487,0.0,0.0
24193,0.0909091,0.0,0.000341471,0.109648,0.0006393519999999999,0.0117073170731707,0.141,0.3818
24194,0.030302999999999997,0.0,4.2117700000000005e-05,0.0273202,0.00205436,0.00886917960088692,-0.353,-0.5994
24195,0.181818,0.0,4.2117700000000005e-05,0.0273202,0.00205436,0.024390243902439,-0.109,-0.4019
24196,0.030302999999999997,0.0,4.2117700000000005e-05,0.0273202,0.00205436,0.006968641114982579,0.222,0.5719
24197,0.0909091,0.0,4.2117700000000005e-05,0.0273202,0.00205436,0.0139372822299652,0.0,0.0
24198,0.030302999999999997,0.0,4.2117700000000005e-05,0.0273202,0.00205436,0.006968641114982579,-0.18300000000000002,-0.5423
24199,0.0606061,0.010526299999999999,0.000341471,0.109648,0.0006393519999999999,0.0121951219512195,0.17,0.5426
24200,0.030302999999999997,0.0,4.2117700000000005e-05,0.0273202,0.00205436,0.00513478818998716,0.0,0.0
24201,0.24242399999999997,0.0,0.000341471,0.109648,0.0006393519999999999,0.0354767184035477,-0.084,-0.3086
24202,0.0606061,0.0,0.000341471,0.109648,0.0006393519999999999,0.00886917960088692,-0.304,-0.7822
24203,0.12121199999999999,0.0,0.000341471,0.109648,0.0006393519999999999,0.021680216802168,0.09999999999999998,0.296
24204,0.030302999999999997,0.0,0.000341471,0.109648,0.0006393519999999999,0.00609756097560976,0.0,0.0
24205,0.12121199999999999,0.0,0.000341471,0.109648,0.0006393519999999999,0.0169671261930011,0.0,0.0
